step 580/9201 (6.3%) | loss 1.7314 | lr 2.00e-04 | ETA 491.6min
step 590/9201 (6.4%) | loss 1.9401 | lr 2.00e-04 | ETA 490.5min
step 600/9201 (6.5%) | loss 1.8185 | lr 2.00e-04 | ETA 493.0min
step 610/9201 (6.6%) | loss 1.9594 | lr 2.00e-04 | ETA 496.1min
step 620/9201 (6.7%) | loss 1.9768 | lr 2.00e-04 | ETA 494.6min
step 630/9201 (6.8%) | loss 1.9513 | lr 2.00e-04 | ETA 492.2min
step 640/9201 (7.0%) | loss 2.0010 | lr 2.00e-04 | ETA 488.0min
step 650/9201 (7.1%) | loss 1.9904 | lr 2.00e-04 | ETA 486.4min
step 660/9201 (7.2%) | loss 1.8594 | lr 2.00e-04 | ETA 487.5min
step 670/9201 (7.3%) | loss 1.8930 | lr 2.00e-04 | ETA 484.2min
step 680/9201 (7.4%) | loss 2.0243 | lr 2.00e-04 | ETA 487.6min
step 690/9201 (7.5%) | loss 2.1177 | lr 2.00e-04 | ETA 489.7min
step 700/9201 (7.6%) | loss 1.9896 | lr 2.00e-04 | ETA 489.6min
step 710/9201 (7.7%) | loss 1.9253 | lr 2.00e-04 | ETA 482.5min
step 720/9201 (7.8%) | loss 2.0076 | lr 2.00e-04 | ETA 483.7min
step 730/9201 (7.9%) | loss 1.9001 | lr 2.00e-04 | ETA 481.7min
step 740/9201 (8.0%) | loss 1.6998 | lr 1.99e-04 | ETA 481.4min
step 750/9201 (8.2%) | loss 2.0713 | lr 1.99e-04 | ETA 485.0min
step 760/9201 (8.3%) | loss 1.9977 | lr 1.99e-04 | ETA 487.0min
step 770/9201 (8.4%) | loss 1.9678 | lr 1.99e-04 | ETA 486.0min
step 780/9201 (8.5%) | loss 1.9284 | lr 1.99e-04 | ETA 483.5min
step 790/9201 (8.6%) | loss 1.8637 | lr 1.99e-04 | ETA 479.2min
step 800/9201 (8.7%) | loss 1.9265 | lr 1.99e-04 | ETA 479.7min
step 810/9201 (8.8%) | loss 2.0411 | lr 1.99e-04 | ETA 485.0min
step 820/9201 (8.9%) | loss 1.8240 | lr 1.99e-04 | ETA 482.1min
step 830/9201 (9.0%) | loss 1.9043 | lr 1.99e-04 | ETA 478.8min
step 840/9201 (9.1%) | loss 1.8341 | lr 1.99e-04 | ETA 478.4min
step 850/9201 (9.2%) | loss 2.0301 | lr 1.99e-04 | ETA 476.2min
step 860/9201 (9.3%) | loss 1.9591 | lr 1.99e-04 | ETA 473.4min
step 870/9201 (9.5%) | loss 1.8965 | lr 1.99e-04 | ETA 473.1min
step 880/9201 (9.6%) | loss 1.9638 | lr 1.99e-04 | ETA 478.0min
step 890/9201 (9.7%) | loss 1.7460 | lr 1.99e-04 | ETA 478.2min
step 900/9201 (9.8%) | loss 2.0243 | lr 1.99e-04 | ETA 479.3min
step 910/9201 (9.9%) | loss 1.8475 | lr 1.99e-04 | ETA 476.0min
step 920/9201 (10.0%) | loss 1.9344 | lr 1.99e-04 | ETA 470.5min
step 930/9201 (10.1%) | loss 1.9459 | lr 1.99e-04 | ETA 470.4min
step 940/9201 (10.2%) | loss 2.1090 | lr 1.99e-04 | ETA 467.5min
step 950/9201 (10.3%) | loss 1.9256 | lr 1.98e-04 | ETA 470.8min
step 960/9201 (10.4%) | loss 2.0300 | lr 1.98e-04 | ETA 470.8min
step 970/9201 (10.5%) | loss 1.9117 | lr 1.98e-04 | ETA 474.5min
step 980/9201 (10.7%) | loss 1.8692 | lr 1.98e-04 | ETA 471.2min
step 990/9201 (10.8%) | loss 2.0180 | lr 1.98e-04 | ETA 474.6min
step 1000/9201 (10.9%) | loss 1.9086 | lr 1.98e-04 | ETA 472.4min
eval loss: 1.9155
best model saved (loss=1.9155)
